iter	Passed	Remaining
560	2058	1611
561	2062	1607
562	2065	1603
563	2069	1599
564	2073	1596
565	2077	1593
566	2081	1589
567	2085	1586
568	2089	1582
569	2093	1579
570	2096	1575
571	2102	1573
572	2106	1570
573	2110	1566
574	2113	1562
575	2117	1558
576	2120	1554
577	2124	1550
578	2127	1547
579	2134	1545
580	2137	1541
581	2140	1537
582	2144	1533
583	2147	1529
584	2151	1526
585	2154	1521
586	2157	1518
587	2160	1513
588	2164	1510
589	2168	1507
590	2172	1503
591	2175	1499
592	2179	1495
593	2182	1491
594	2185	1487
595	2189	1484
596	2192	1480
597	2195	1476
598	2199	1472
599	2202	1468
600	2205	1464
601	2209	1460
602	2212	1456
603	2216	1452
604	2219	1449
605	2222	1445
606	2225	1441
607	2229	1437
608	2232	1433
609	2235	1429
610	2239	1425
611	2242	1421
612	2246	1418
613	2249	1414
614	2253	1410
615	2256	1406
616	2260	1402
617	2263	1398
618	2266	1395
619	2269	1390
620	2273	1387
621	2276	1383
622	2279	1379
623	2282	1375
624	2286	1371
625	2289	1368
626	2293	1364
627	2296	1360
628	2300	1356
629	2303	1352
630	2307	1349
631	2311	1345
632	2315	1342
633	2318	1338
634	2321	1334
635	2325	1331
636	2329	1327
637	2333	1323
638	2336	1320
639	2342	1317
640	2345	1313
641	2349	1309
642	2352	1306
643	2355	1302
644	2359	1298
645	2362	1294
646	2366	1291
647	2369	1287
648	2374	1284
649	2377	1280
650	2381	1276
651	2384	1272
652	2388	1268
653	2391	1265
654	2395	1261
655	2398	1257
656	2402	1254
657	2405	1250
658	2409	1246
659	2412	1242
660	2415	1239
661	2419	1235
662	2423	1231
663	2426	1228
664	2430	1224
665	2433	1220
666	2436	1216
667	2440	1213
668	2444	1209
669	2447	1205
670	2450	1201
671	2454	1197
672	2457	1194
673	2460	1190
674	2464	1186
675	2467	1182
676	2470	1178
677	2474	1175
678	2477	1171
679	2480	1167
680	2483	1163
681	2487	1159
682	2491	1156
683	2494	1152
684	2497	1148
685	2500	1144
686	2503	1140
687	2507	1136
688	2510	1133
689	2513	1129
690	2517	1125
691	2521	1122
692	2524	1118
693	2528	1114
694	2531	1111
695	2534	1107
696	2538	1103
697	2541	1099
698	2545	1096
699	2548	1092
700	2551	1088
701	2554	1084
702	2558	1080
703	2561	1077
704	2565	1073
705	2567	1069
706	2571	1065
707	2574	1061
708	2578	1058
709	2581	1054
710	2584	1050
711	2587	1046
712	2590	1042
713	2593	1038
714	2596	1035
715	2600	1031
716	2603	1027
717	2606	1023
718	2609	1020
719	2613	1016
720	2616	1012
721	2619	1008
722	2622	1004
723	2626	1001
724	2629	997
725	2631	993
726	2634	989
727	2638	985
728	2641	981
729	2644	978
730	2647	974
731	2651	970
732	2655	967
733	2659	963
734	2663	960
735	2666	956
736	2670	953
737	2674	949
738	2677	945
739	2680	941
740	2684	938
741	2687	934
742	2691	930
743	2694	927
744	2697	923
745	2701	919
746	2704	915
747	2707	912
748	2710	908
749	2714	904
750	2717	901
751	2721	897
752	2724	893
753	2727	889
754	2730	886
755	2734	882
756	2737	878
757	2740	874
758	2743	871
759	2747	867
760	2750	863
761	2753	860
762	2756	856
763	2759	852
764	2763	848
765	2766	845
766	2770	841
767	2773	837
768	2776	834
769	2779	830
770	2782	826
771	2785	822
772	2788	818
773	2792	815
774	2795	811
775	2798	807
776	2801	804
777	2805	800
778	2808	796
